Chocolate milk (1 Glass),416
Skim milk,86
Pudding(1 cup),322
Apple Juice (1 cup),81
Banana,105
Orange Juice,112
Raisins(1/2 cup),302
Sweet potato (1 large),118
Biscuit(1),103
Breadsticks(2 sticks),77
White Bread(1 slice),61
Bread (whole wheat)(1 slice),55
Cookie (oatmeal raisin)(1),62
Muffin,130
Pancake (4 inch diameter),41
Cheese Omlette(2 egg),275
Omlette(1 egg),154 
Dark or Milk chocolate bar (1),200
